EntryID	term	aspect
6IJO-2	GO:0009314	BPO
6IJO-2	GO:0009628	BPO
6IJO-2	GO:0008150	BPO
6IJO-2	GO:0050896	BPO
6IJO-2	GO:0009416	BPO
6IJO-2	GO:0110165	CCO
6IJO-2	GO:0005737	CCO
6IJO-2	GO:0005575	CCO
6IJO-2	GO:0009536	CCO
6IJO-2	GO:0043226	CCO
6IJO-2	GO:0009507	CCO
6IJO-2	GO:0043229	CCO
6IJO-2	GO:0043227	CCO
6IJO-2	GO:0005622	CCO
6IJO-2	GO:0043231	CCO
6T83-2	GO:0097159	MFO
6T83-2	GO:1901363	MFO
6T83-2	GO:0003676	MFO
6T83-2	GO:0043167	MFO
6T83-2	GO:0003674	MFO
6T83-2	GO:0005488	MFO
6T83-2	GO:0043169	MFO
6T83-2	GO:0046872	MFO
6T83-2	GO:0003723	MFO
6T83-2	GO:0110165	CCO
6T83-2	GO:0005737	CCO
6T83-2	GO:0005575	CCO
6T83-2	GO:0032991	CCO
6T83-2	GO:1990904	CCO
6T83-2	GO:0005829	CCO
6T83-2	GO:0005622	CCO
5ZET-3	GO:0032991	CCO
5ZET-3	GO:1990904	CCO
5ZET-3	GO:0005575	CCO
4F88-1	GO:0005515	MFO
4F88-1	GO:0003674	MFO
4F88-1	GO:0005488	MFO
8FR8-8	GO:0032991	CCO
8FR8-8	GO:1990904	CCO
8FR8-8	GO:0005575	CCO
3HF9-1	GO:0005515	MFO
3HF9-1	GO:0003674	MFO
3HF9-1	GO:0005488	MFO
3HF9-1	GO:0110165	CCO
3HF9-1	GO:0005737	CCO
3HF9-1	GO:0005575	CCO
3HF9-1	GO:0071944	CCO
3HF9-1	GO:0005886	CCO
3HF9-1	GO:0005622	CCO
3HF9-1	GO:0016020	CCO
7VPX-3	GO:0044877	MFO
7VPX-3	GO:0003674	MFO
7VPX-3	GO:0005488	MFO
7VPX-3	GO:0005515	MFO
7VPX-3	GO:0031326	BPO
7VPX-3	GO:0008152	BPO
7VPX-3	GO:0051254	BPO
7VPX-3	GO:0034641	BPO
7VPX-3	GO:0010468	BPO
7VPX-3	GO:0044238	BPO
7VPX-3	GO:0031325	BPO
7VPX-3	GO:0018130	BPO
7VPX-3	GO:0050794	BPO
7VPX-3	GO:0006725	BPO
7VPX-3	GO:0006807	BPO
7VPX-3	GO:0045935	BPO
7VPX-3	GO:0009059	BPO
7VPX-3	GO:0009893	BPO
7VPX-3	GO:0032774	BPO
7VPX-3	GO:0019219	BPO
7VPX-3	GO:0044249	BPO
7VPX-3	GO:2001141	BPO
7VPX-3	GO:0009889	BPO
7VPX-3	GO:0010556	BPO
7VPX-3	GO:0009058	BPO
7VPX-3	GO:0031328	BPO
7VPX-3	GO:0016070	BPO
7VPX-3	GO:0051173	BPO
7VPX-3	GO:0043170	BPO
7VPX-3	GO:1902680	BPO
7VPX-3	GO:0010467	BPO
7VPX-3	GO:0010604	BPO
7VPX-3	GO:0080090	BPO
7VPX-3	GO:0010557	BPO
7VPX-3	GO:0060255	BPO
7VPX-3	GO:1901576	BPO
7VPX-3	GO:0009987	BPO
7VPX-3	GO:0044271	BPO
7VPX-3	GO:0065007	BPO
7VPX-3	GO:1901360	BPO
7VPX-3	GO:0031323	BPO
7VPX-3	GO:0008150	BPO
7VPX-3	GO:0046483	BPO
7VPX-3	GO:1901362	BPO
7VPX-3	GO:0048522	BPO
7VPX-3	GO:0045893	BPO
7VPX-3	GO:0044237	BPO
7VPX-3	GO:0051171	BPO
7VPX-3	GO:0034654	BPO
7VPX-3	GO:0050789	BPO
7VPX-3	GO:0006139	BPO
7VPX-3	GO:0090304	BPO
7VPX-3	GO:0019438	BPO
7VPX-3	GO:0006355	BPO
7VPX-3	GO:0006351	BPO
7VPX-3	GO:0009891	BPO
7VPX-3	GO:0051252	BPO
7VPX-3	GO:0048518	BPO
7VPX-3	GO:0019222	BPO
7VPX-3	GO:0071704	BPO
7VPX-3	GO:0110165	CCO
7VPX-3	GO:0031981	CCO
7VPX-3	GO:0005730	CCO
7VPX-3	GO:0043228	CCO
7VPX-3	GO:0005575	CCO
7VPX-3	GO:0043232	CCO
7VPX-3	GO:0043226	CCO
7VPX-3	GO:0031974	CCO
7VPX-3	GO:0043229	CCO
7VPX-3	GO:0005654	CCO
7VPX-3	GO:0005634	CCO
7VPX-3	GO:0043227	CCO
7VPX-3	GO:0043233	CCO
7VPX-3	GO:0005622	CCO
7VPX-3	GO:0043231	CCO
7VPX-3	GO:0070013	CCO
3J6X-53	GO:0097159	MFO
3J6X-53	GO:1901363	MFO
3J6X-53	GO:0003676	MFO
3J6X-53	GO:0003674	MFO
3J6X-53	GO:0005488	MFO
3J6X-53	GO:0003723	MFO
3J6X-53	GO:0110165	CCO
3J6X-53	GO:0005737	CCO
3J6X-53	GO:0005575	CCO
3J6X-53	GO:0032991	CCO
3J6X-53	GO:1990904	CCO
3J6X-53	GO:0005829	CCO
3J6X-53	GO:0005622	CCO
3J8G-7	GO:0110165	CCO
3J8G-7	GO:0005737	CCO
3J8G-7	GO:0005575	CCO
3J8G-7	GO:0032991	CCO
3J8G-7	GO:1990904	CCO
3J8G-7	GO:0005622	CCO
1GAV-1	GO:0097159	MFO
1GAV-1	GO:1901363	MFO
1GAV-1	GO:0003676	MFO
1GAV-1	GO:0003674	MFO
1GAV-1	GO:0005488	MFO
1GAV-1	GO:0003723	MFO
7F0L-2	GO:0043167	MFO
7F0L-2	GO:0003674	MFO
7F0L-2	GO:0005488	MFO
7F0L-2	GO:0043169	MFO
7F0L-2	GO:0046872	MFO
7F0L-2	GO:0110165	CCO
7F0L-2	GO:0005575	CCO
7F0L-2	GO:0071944	CCO
7F0L-2	GO:0005886	CCO
7F0L-2	GO:0016020	CCO
7DGZ-8	GO:0043167	MFO
7DGZ-8	GO:0003674	MFO
7DGZ-8	GO:0005488	MFO
7DGZ-8	GO:0043169	MFO
7DGZ-8	GO:0016491	MFO
7DGZ-8	GO:0003824	MFO
7DGZ-8	GO:0046872	MFO
7DGZ-8	GO:0110165	CCO
7DGZ-8	GO:0005737	CCO
7DGZ-8	GO:0005575	CCO
7DGZ-8	GO:0005739	CCO
7DGZ-8	GO:0043226	CCO
7DGZ-8	GO:0043229	CCO
7DGZ-8	GO:0043227	CCO
7DGZ-8	GO:0005622	CCO
7DGZ-8	GO:0043231	CCO
7DGZ-8	GO:0016020	CCO
6KAD-7	GO:0009314	BPO
6KAD-7	GO:0009628	BPO
6KAD-7	GO:0008150	BPO
6KAD-7	GO:0050896	BPO
6KAD-7	GO:0009416	BPO
6KAD-7	GO:0110165	CCO
6KAD-7	GO:0005737	CCO
6KAD-7	GO:0005575	CCO
6KAD-7	GO:0009536	CCO
6KAD-7	GO:0043226	CCO
6KAD-7	GO:0009507	CCO
6KAD-7	GO:0043229	CCO
6KAD-7	GO:0043227	CCO
6KAD-7	GO:0005622	CCO
6KAD-7	GO:0043231	CCO
7UIL-5	GO:0005515	MFO
7UIL-5	GO:0003674	MFO
7UIL-5	GO:0005488	MFO
7UIL-5	GO:0031326	BPO
7UIL-5	GO:0008152	BPO
7UIL-5	GO:0051254	BPO
7UIL-5	GO:0034641	BPO
7UIL-5	GO:0009892	BPO
7UIL-5	GO:0010468	BPO
7UIL-5	GO:0044238	BPO
7UIL-5	GO:0031325	BPO
7UIL-5	GO:1902679	BPO
7UIL-5	GO:0018130	BPO
7UIL-5	GO:0050794	BPO
7UIL-5	GO:0006725	BPO
7UIL-5	GO:0006807	BPO
7UIL-5	GO:0009059	BPO
7UIL-5	GO:0045934	BPO
7UIL-5	GO:0045935	BPO
7UIL-5	GO:0051253	BPO
7UIL-5	GO:0006366	BPO
7UIL-5	GO:0009893	BPO
7UIL-5	GO:0032774	BPO
7UIL-5	GO:0019219	BPO
7UIL-5	GO:0010605	BPO
7UIL-5	GO:0044249	BPO
7UIL-5	GO:0010558	BPO
7UIL-5	GO:2001141	BPO
7UIL-5	GO:0009889	BPO
7UIL-5	GO:0010556	BPO
7UIL-5	GO:0009058	BPO
7UIL-5	GO:0009890	BPO
7UIL-5	GO:0031328	BPO
7UIL-5	GO:0016070	BPO
7UIL-5	GO:0051173	BPO
7UIL-5	GO:0000122	BPO
7UIL-5	GO:0048519	BPO
7UIL-5	GO:0031327	BPO
7UIL-5	GO:0043170	BPO
7UIL-5	GO:1902680	BPO
7UIL-5	GO:0010467	BPO
7UIL-5	GO:0045944	BPO
7UIL-5	GO:0031324	BPO
7UIL-5	GO:0045892	BPO
7UIL-5	GO:0010604	BPO
7UIL-5	GO:0080090	BPO
7UIL-5	GO:0060255	BPO
7UIL-5	GO:0010557	BPO
7UIL-5	GO:0009987	BPO
7UIL-5	GO:1901576	BPO
7UIL-5	GO:0044271	BPO
7UIL-5	GO:0006357	BPO
7UIL-5	GO:0065007	BPO
7UIL-5	GO:1901360	BPO
7UIL-5	GO:0008150	BPO
7UIL-5	GO:0031323	BPO
7UIL-5	GO:0046483	BPO
7UIL-5	GO:1901362	BPO
7UIL-5	GO:0048522	BPO
7UIL-5	GO:0045893	BPO
7UIL-5	GO:0051171	BPO
7UIL-5	GO:0044237	BPO
7UIL-5	GO:0050789	BPO
7UIL-5	GO:0034654	BPO
7UIL-5	GO:0006139	BPO
7UIL-5	GO:0019438	BPO
